subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	0	2	-23.7364076029	178.763592397	2.61809644611	0.4	22.5	1
1	1	2	-8.71887523513	178.781124765	2.25156771769	0.4	7.5	2
1	1	2	-7.75643716353	149.743562836	2.33483239711	-0.1	157.5	2
1	0	2	-14.8860431513	82.6139568487	1.85221680426	-0.1	97.5	1
1	1	1	10.5238675558	123.023867556	1.60195940469	0.1	112.5	1
1	1	2	-10.9533094541	56.5466905459	2.18495345227	-0.1	67.5	2
1	1	1	12.4920201986	124.992020199	2.03494689316	0.4	112.5	1
1	1	2	13.272254682	110.772254682	2.06823145211	-0.1	97.5	2
1	0	-1	15.8256503304	8.32565033043	2.58480408111	0.1	172.5	1
1	1	2	-0.630102354156	126.869897646	1.88517586411	-0.1	127.5	2
1	0	2	21.5362434679	104.036243468	2.58477358763	-0.1	82.5	1
1	0	-1	21.0679038158	43.5679038158	2.86793427027	-0.1	22.5	1
1	1	2	-45.998565676	156.501434324	2.16822013621	0.1	22.5	2
1	1	1	5.02880770915	12.5288077092	2.25153051579	-0.1	7.5	1
1	0	2	-9.10600298928	178.393997011	2.30147818863	0.4	7.5	1
1	0	2	57.4697407281	49.9697407281	2.35164628311	0.4	172.5	1
1	1	2	23.7637316944	76.2637316944	1.85171604911	0.1	52.5	2
1	1	1	-76.8693172424	50.6306827576	2.00172791069	0.4	127.5	1
1	0	1	4.06505117708	116.565051177	2.10163979516	0.1	112.5	2
1	0	1	-11.6446237411	85.8553762589	3.06792120811	-0.1	97.5	2
1	1	2	21.5362434679	104.036243468	1.53518966827	-0.1	82.5	2
1	0	1	-0.240341158838	172.259658841	2.01833043663	0.4	172.5	2
1	0	1	-7.00178838739	45.4982116126	1.55188736379	-0.1	52.5	2
1	0	1	13.6612598168	111.161259817	1.98507471769	0.4	97.5	2
1	1	2	80.4545915111	132.954591511	2.90131991927	-0.1	52.5	2
1	1	2	3.68592516571	41.1859251657	1.75173006026	-0.1	37.5	2
1	1	1	-5.61181199326	136.888188007	2.03500313916	0.1	142.5	1
1	0	1	31.707203505	129.207203505	2.43484968911	0.1	97.5	2
1	0	1	11.0035316448	93.5035316448	1.83506157763	-0.1	82.5	2
1	0	1	4.13353933657	86.6335393366	3.35123543411	0.4	82.5	2
1	1	1	6.26764933884	28.7676493388	2.66817712816	0.4	22.5	1
1	0	1	-33.2131230228	124.286876977	3.05133078427	0.4	157.5	2
1	0	2	-19.4657144329	108.034285567	3.65112531263	0.4	127.5	1
1	1	2	11.1913859865	138.691385986	2.10157929269	0.1	127.5	2
1	0	2	-15.353313302	82.146686698	1.75168966663	0.1	97.5	1
